alg,thread_num,iter_type,prefill,query_num,insert,query,delete
PGM,1,seq,1000,1000,0.0998265,0.000217933,0.0951796
wormhole,1,seq,1000,1000,0.00041339,0.000139207,0.00017933
PGM,1,seq,2000,1000,0.105336,0.00020581,0.10492
wormhole,1,seq,2000,1000,0.000251399,0.00013657,0.00019977
PGM,1,seq,3000,1000,0.0837591,0.000203514,0.0987906
wormhole,1,seq,3000,1000,0.000276484,0.000137174,0.000209577
PGM,1,seq,4000,1000,0.0515498,0.00020486,0.0969071
wormhole,1,seq,4000,1000,0.000224288,0.000123872,0.000193944
PGM,1,seq,5000,1000,0.0923756,0.000212373,0.0882763
wormhole,1,seq,5000,1000,0.000224847,0.000134464,0.000196048
PGM,1,seq,6000,1000,0.0838016,0.000205933,0.0881349
wormhole,1,seq,6000,1000,0.000219363,0.00012782,0.000194098
PGM,1,seq,7000,1000,0.0804256,0.000227508,0.087819
wormhole,1,seq,7000,1000,0.000229499,0.000128026,0.000191975
PGM,1,seq,8000,1000,0.0800951,0.000204757,0.0875864
wormhole,1,seq,8000,1000,0.000214464,0.000114494,0.000187429
PGM,1,seq,9000,1000,0.0933845,0.000205923,0.130429
wormhole,1,seq,9000,1000,0.000224074,0.000114694,0.000168907
PGM,1,seq,10000,1000,0.0937539,0.000208991,0.0987842
wormhole,1,seq,10000,1000,0.000224749,0.000120318,0.000195057
PGM,1,seq,11000,1000,0.0905251,0.000213573,0.0991508
wormhole,1,seq,11000,1000,0.000215411,0.00012048,0.000189153
PGM,1,seq,12000,1000,0.0949047,0.00021171,0.0987725
wormhole,1,seq,12000,1000,0.000208537,0.000120275,0.000187393
PGM,1,seq,13000,1000,0.0944917,0.000204234,0.0997779
wormhole,1,seq,13000,1000,0.000204048,0.00012063,0.000181194
PGM,1,seq,14000,1000,0.0949772,0.000230062,0.0998835
wormhole,1,seq,14000,1000,0.000279107,0.000121221,0.000184134
PGM,1,seq,15000,1000,0.0964751,0.000203184,0.0995906
wormhole,1,seq,15000,1000,0.000206757,8.45E-05,0.000142738
PGM,1,seq,16000,1000,0.0892051,0.00020793,0.100047
wormhole,1,seq,16000,1000,0.00020133,0.000125724,0.000102055
PGM,1,seq,17000,1000,0.0953406,0.000221332,0.102935
wormhole,1,seq,17000,1000,0.00020399,0.000117088,0.000183335
PGM,1,seq,18000,1000,0.0966373,0.000209461,0.103942
wormhole,1,seq,18000,1000,0.000210553,0.000116414,0.000179302
PGM,1,seq,19000,1000,0.0957414,0.000216158,0.103422
wormhole,1,seq,19000,1000,0.000207935,0.000117717,0.000184678
PGM,1,rand,1000,1000,0.110219,0.000264772,0.256556
wormhole,1,rand,1000,1000,0.000434608,0.000362357,0.000184522
PGM,1,rand,2000,1000,0.0906175,0.000278866,0.211083
wormhole,1,rand,2000,1000,0.000451284,0.00030561,0.00017199
PGM,1,rand,3000,1000,0.102171,0.000295731,0.241819
wormhole,1,rand,3000,1000,0.000446601,0.000324468,0.000170307
PGM,1,rand,4000,1000,0.111141,0.000270084,0.255181
wormhole,1,rand,4000,1000,0.000454179,0.000333681,0.000183202
PGM,1,rand,5000,1000,0.0874507,0.000253543,0.21201
wormhole,1,rand,5000,1000,0.000451827,0.000333043,0.000175258
PGM,1,rand,6000,1000,0.0862692,0.00027524,0.218194
wormhole,1,rand,6000,1000,0.000432273,0.000352788,0.00019412
PGM,1,rand,7000,1000,0.0903546,0.000234635,0.251581
wormhole,1,rand,7000,1000,0.000386193,0.000355273,0.000176005
PGM,1,rand,8000,1000,0.0928874,0.000256036,0.230491
wormhole,1,rand,8000,1000,0.000397864,0.000320873,0.000178801
PGM,1,rand,9000,1000,0.103548,0.000252911,0.264118
wormhole,1,rand,9000,1000,0.000388583,0.000317421,0.000175542
PGM,1,rand,10000,1000,0.0799353,0.000248687,0.216092
wormhole,1,rand,10000,1000,0.00028882,0.00031603,9.30E-05
PGM,1,rand,11000,1000,0.090029,0.000251262,0.239096
wormhole,1,rand,11000,1000,0.000300563,0.000330727,0.000180101
PGM,1,rand,12000,1000,0.0895248,0.000231745,0.240348
wormhole,1,rand,12000,1000,0.000331307,0.00033727,0.000185542
PGM,1,rand,13000,1000,0.0933856,0.000240047,0.244239
wormhole,1,rand,13000,1000,0.000399498,0.00033598,0.000173244
PGM,1,rand,14000,1000,0.0947856,0.000268689,0.262466
wormhole,1,rand,14000,1000,0.000413147,0.000315755,0.000171785
PGM,1,rand,15000,1000,0.0928017,0.000262071,0.231483
wormhole,1,rand,15000,1000,0.000360809,0.000317611,0.000178641
PGM,1,rand,16000,1000,0.0845826,0.000263392,0.215881
wormhole,1,rand,16000,1000,0.000303567,0.00032195,0.00016703
PGM,1,rand,17000,1000,0.0893598,0.000266824,0.220998
wormhole,1,rand,17000,1000,0.00028246,0.000330605,0.000172247
PGM,1,rand,18000,1000,0.0945835,0.000300311,0.253799
wormhole,1,rand,18000,1000,0.000264057,0.000323828,0.000190583
PGM,1,rand,19000,1000,0.103412,0.00031241,0.259873
wormhole,1,rand,19000,1000,0.000266776,0.000358628,0.000120092
PGM,1,seq,1000,2000,0.355841,0.00037924,0.352814
wormhole,1,seq,1000,2000,0.000494916,0.000178455,0.000319944
PGM,1,seq,2000,2000,0.38194,0.000388568,0.316608
wormhole,1,seq,2000,2000,0.000432647,0.000184199,0.000323893
PGM,1,seq,3000,2000,0.309676,0.000370269,0.309729
wormhole,1,seq,3000,2000,0.00036342,0.000164391,0.000297249
PGM,1,seq,4000,2000,0.278407,0.000370948,0.295564
wormhole,1,seq,4000,2000,0.000320767,0.000149454,0.000293565
PGM,1,seq,5000,2000,0.310174,0.000293809,0.309876
wormhole,1,seq,5000,2000,0.000284003,0.000149155,0.000250818
PGM,1,seq,6000,2000,0.30534,0.000320246,0.344529
wormhole,1,seq,6000,2000,0.000264615,0.000143201,0.000253
PGM,1,seq,7000,2000,0.305472,0.000303474,0.309799
wormhole,1,seq,7000,2000,0.000274184,0.000153536,0.000256285
PGM,1,seq,8000,2000,0.316516,0.000355368,0.347827
wormhole,1,seq,8000,2000,0.000263395,0.000136906,0.00025335
PGM,1,seq,9000,2000,0.34189,0.000354058,0.348725
wormhole,1,seq,9000,2000,0.000271992,0.000141438,0.000253892
PGM,1,seq,10000,2000,0.301385,0.000331016,0.306412
wormhole,1,seq,10000,2000,0.000257686,0.000131016,0.000253257
PGM,1,seq,11000,2000,0.304184,0.000329513,0.30244
wormhole,1,seq,11000,2000,0.000264414,0.000142816,0.000243983
PGM,1,seq,12000,2000,0.306507,0.000333902,0.342569
wormhole,1,seq,12000,2000,0.000258876,0.000143238,0.000256063
PGM,1,seq,13000,2000,0.326873,0.000394662,0.379161
wormhole,1,seq,13000,2000,0.000270546,0.000140766,0.000249735
PGM,1,seq,14000,2000,0.349872,0.000378345,0.34402
wormhole,1,seq,14000,2000,0.000254584,0.000141197,0.000236228
PGM,1,seq,15000,2000,0.321513,0.000377247,0.347546
wormhole,1,seq,15000,2000,0.000259396,0.000155653,0.000245864
PGM,1,seq,16000,2000,0.304881,0.000352963,0.330059
wormhole,1,seq,16000,2000,0.000252115,0.000136846,0.000250186
PGM,1,seq,17000,2000,0.311572,0.000340395,0.313096
wormhole,1,seq,17000,2000,0.000260064,0.000131637,0.000246646
PGM,1,seq,18000,2000,0.315408,0.000345949,0.314945
wormhole,1,seq,18000,2000,0.000256369,0.000132966,0.000249408
PGM,1,seq,19000,2000,0.316768,0.000348012,0.317885
wormhole,1,seq,19000,2000,0.000252281,0.000137941,0.000242434
PGM,1,rand,1000,2000,0.0900052,0.000375364,0.225167
wormhole,1,rand,1000,2000,0.00041896,0.000483417,0.00013219
PGM,1,rand,2000,2000,0.0914131,0.000473779,0.222112
wormhole,1,rand,2000,2000,0.000455691,0.000496905,0.000146129
PGM,1,rand,3000,2000,0.104956,0.000442279,0.2441
wormhole,1,rand,3000,2000,0.000424838,0.000445276,0.000161978
PGM,1,rand,4000,2000,0.107599,0.000429849,0.256219
wormhole,1,rand,4000,2000,0.000433601,0.000488857,0.000174135
PGM,1,rand,5000,2000,0.0793823,0.000347495,0.19306
wormhole,1,rand,5000,2000,0.000439031,0.000503163,0.000177307
PGM,1,rand,6000,2000,0.0880151,0.000373839,0.214902
wormhole,1,rand,6000,2000,0.000435754,0.000481011,0.000164446
PGM,1,rand,7000,2000,0.0906838,0.000371236,0.239782
wormhole,1,rand,7000,2000,0.000349683,0.000455285,0.000164807
PGM,1,rand,8000,2000,0.0939258,0.000371527,0.227284
wormhole,1,rand,8000,2000,0.000399402,0.000459589,0.000173531
PGM,1,rand,9000,2000,0.0963998,0.000354867,0.24827
wormhole,1,rand,9000,2000,0.000381776,0.000469075,0.000177049
PGM,1,rand,10000,2000,0.0804171,0.000398044,0.211817
wormhole,1,rand,10000,2000,0.000335272,0.000465252,0.000172547
PGM,1,rand,11000,2000,0.08831,0.000363563,0.210844
wormhole,1,rand,11000,2000,0.000298836,0.000480321,0.000171828
PGM,1,rand,12000,2000,0.0887021,0.000375144,0.243155
wormhole,1,rand,12000,2000,0.000338613,0.000478059,0.000180843
PGM,1,rand,13000,2000,0.0938147,0.000359616,0.222772
wormhole,1,rand,13000,2000,0.00039251,0.000479392,0.00017665
PGM,1,rand,14000,2000,0.0939556,0.000396948,0.256962
wormhole,1,rand,14000,2000,0.000415056,0.000443818,0.00017219
PGM,1,rand,15000,2000,0.090843,0.000436958,0.234277
wormhole,1,rand,15000,2000,0.00035843,0.000454204,0.000177236
